Unidade de negócio,Case Name,Cliente,Ano do case,MD,Focal do time,Setor,Produto,Status,ID,Created,Item Type,Path
Digital & Technology Services (CT),Distribuidora Tiscoski: IT Due Diligence,Distribuidora Tiscoski,2021,"Quintao, Fabio;#23","Segretti, Luis;#488",9;#Varejo e bens de consumo,62;#IT Consulting,Validado,132,8/8/2022 11:44,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Docol: melhoria de eficiência,Docol,2021,"Kneubuhler, Markus;#50","Lima, Marianna;#139",26;#Construção e infraestrutura,38;#Organizational Transformation,Validado,109,20/5/2022 12:56,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Dominos: Redução de custos,Dominos,2024,"Mendes, Carlos;#16","Hirata, Mauricio;#4559",14;#Comércio,"441;#Orçamentação, OBZ e Custos",Validado,1217,27/3/2024 12:03,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Eldorado Indústrias Plásticas: Melhoria de Performance e Reestruturação​,Eldorado Indústrias Plásticas Ltda,2014,"Sampaio de Oliveira, Eduardo;#19","Pela, Mauricio;#18",19;#Automotivo,68;#Growth ＆ Commercial Excellence,Validado,178,25/11/2022 04:42,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),Eletrobrás: Gestão de Riscos - Hedge,Eletrobrás,2023,"Mendes, Carlos;#16","Ferrari, Daniel;#2592",23;#Energética,249;#Risk management,Validado,1147,22/9/2023 05:27,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Transformação Corporativa (CT),Eletrosom - Varejo,Eletrosom,2015,"Sampaio de Oliveira, Eduardo;#19",,17;#Varejo,295;#Financial performance,Em validação,1013,7/2/2023 14:36,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy (CT),Elfa : PMI,Elfa Medicamentos,2023,"Pela, Mauricio;#18","Mariano, Diogo;#612",10;#Farmoquímicos e Farmaceuticos,32;#Post-Merger Integration (PMI),Validado,1127,21/6/2023 08:10,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy (CT),Elfa Medicamentos S.A.: Redução de custo,Elfa Medicamentos,2021,"Pela, Mauricio;#18","Kumagai, Victor;#270",10;#Farmoquímicos e Farmaceuticos,35;#General ＆ Administrative Expense (G＆A),Validado,1126,21/6/2023 08:10,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Elfa Medicamentos: Entrada Fiscal,Elfa Medicamentos,,,,,,Em validação,1138,27/7/2023 07:08,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Elfa: Desenho de área de Customer Service,Elfa Medicamentos,2021,"Pela, Mauricio;#18","Brazil, Amauri;#194",10;#Farmoquímicos e Farmaceuticos,211;#Customer Experience,Validado,140,8/9/2022 12:28,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Elfa: Gestão de Margem e Reposições,Elfa Medicamentos,2021,"Pela, Mauricio;#18","Kumagai, Victor;#270",10;#Farmoquímicos e Farmaceuticos,164;#Margin,Validado,99,3/5/2022 10:30,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Elfa: Gestão Integrada de Caixa,Elfa Medicamentos,2021,"Pela, Mauricio;#18","Kam, Guilherme;#115",10;#Farmoquímicos e Farmaceuticos,36;#Financial Transformation,Validado,89,18/4/2022 14:57,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Elfa: integração e fusão,Elfa Medicamentos,2020,"Pela, Mauricio;#18","Ribeiro, Matheus;#20",10;#Farmoquímicos e Farmaceuticos,32;#Post-Merger Integration (PMI),Validado,7,5/10/2021 12:17,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
